,City,Latitude,Longitude,Temperature (F),Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
431,ibiapina,-3.92,-40.89,70.66,70.66,93,96,5.99
432,okhotsk,59.38,143.3,-19.48,-19.48,71,71,14.83
433,bubaque,11.28,-15.83,77.58,77.58,75,92,13.38
434,dunedin,-45.87,170.5,64.0,64.0,77,49,15.01
435,puerto rico,-26.8,-55.02,75.07,75.07,47,0,3.89
436,franklin,39.97,-83.02,33.46,35.01,100,90,10.29
437,guaruja,-23.99,-46.26,75.6,79.0,65,24,5.01
438,gilgit,35.92,74.31,9.28,9.28,90,95,3.15
439,fallon,39.47,-118.78,57.7,59.0,35,33,1.01
440,port hawkesbury,45.62,-61.35,24.04,30.0,85,2,1.99
441,san cristobal,7.77,-72.22,58.15,58.15,98,100,2.37
442,coolum beach,-26.53,153.1,79.48,82.0,80,34,7.27
443,linden,6.0,-58.3,74.98,74.98,83,100,4.81
444,obo,5.4,26.49,68.47,68.47,23,88,5.73
445,alcanena,39.46,-8.67,43.16,51.01,94,0,2.82
446,saint-denis,48.92,2.33,36.16,39.0,91,88,4.85
447,gweta,-20.18,25.23,73.49,73.49,59,2,6.31
448,kushmurun,52.45,64.63,18.84,18.84,86,100,22.46
449,pilar,-9.6,-35.96,78.71,78.71,84,85,8.43
450,kovdor,67.57,30.48,0.03,0.03,97,42,3.74
451,umm lajj,25.02,37.27,50.36,50.36,28,0,14.23
452,kiama,-34.68,150.87,81.37,84.99,22,21,10.0
453,pskov,57.81,28.35,29.17,29.17,86,22,6.49
454,truth or consequences,33.13,-107.25,62.01,62.01,26,17,4.0
455,charters towers,-20.1,146.27,80.46,80.46,73,100,6.38
456,asau,46.43,26.4,27.0,27.0,80,65,5.99
457,cordoba,-31.41,-64.18,88.5,95.0,18,9,1.99
458,kuopio,62.88,27.67,20.93,20.93,95,21,3.6
459,tukrah,32.53,20.58,53.33,53.33,61,55,12.93
460,yabelo,4.88,38.08,68.16,68.16,70,100,9.35
461,patea,-39.76,174.48,72.82,75.0,80,88,5.99
462,mecca,21.43,39.83,59.88,59.88,27,0,11.01
463,nelson bay,-32.72,152.15,84.04,88.0,82,38,3.2
464,biak,-0.91,122.88,81.3,81.3,78,27,3.8
465,manzhouli,49.6,117.43,-3.23,-3.23,86,100,3.4
466,olyka,50.72,25.81,31.41,31.41,86,100,9.55
467,derzhavinsk,51.1,66.32,15.51,15.51,91,99,25.59
468,plettenberg bay,-34.05,23.37,67.69,67.69,85,45,8.95
469,olinda,-8.01,-34.86,80.51,80.51,80,82,5.99
470,broken hill,-31.95,141.43,80.67,80.67,30,0,13.38
471,carauari,-4.88,-66.9,79.41,79.41,68,81,1.5
472,lazaro cardenas,17.96,-102.2,78.98,78.98,65,90,5.66
473,utete,-7.99,38.76,73.29,73.29,97,100,1.12
474,gushikawa,26.35,127.87,71.01,71.01,88,100,10.0
475,santa rosa,14.31,121.11,75.99,75.99,92,76,1.99
476,hingorja,27.21,68.42,64.98,64.98,37,0,7.76
477,rawson,-43.3,-65.1,76.14,76.14,37,0,14.97
478,kukes,42.08,20.42,37.67,37.67,88,100,5.41
479,inca,39.72,2.91,52.52,55.99,84,97,0.89
480,coquimbo,-29.95,-71.34,64.36,64.36,84,29,6.85
481,koson,39.04,65.58,32.9,32.9,89,98,5.21
482,san rafael,-34.62,-68.33,85.19,85.19,21,0,8.16
483,aklavik,68.22,-135.01,-16.04,-16.04,88,100,16.6
484,tanout,14.97,8.89,61.79,61.79,13,0,14.45
485,qaqortoq,60.72,-46.03,15.8,15.8,72,99,3.36
486,udachnyy,66.42,112.4,-24.09,-24.09,99,85,8.28
487,kawalu,-7.38,108.21,72.93,72.93,86,15,1.7
488,esso,55.93,158.7,18.57,18.57,94,100,2.84
489,cervo,43.67,-7.41,40.17,45.0,1,5,4.23
490,kalmunai,7.42,81.82,79.75,79.75,70,75,14.34
491,vammala,61.33,22.9,28.96,30.0,87,96,7.94
492,muros,42.78,-9.06,42.8,51.01,93,37,3.71
493,carbonia,39.17,8.52,51.01,51.01,82,0,8.19
494,fort nelson,58.81,-122.7,13.15,13.15,96,84,3.09
495,mayumba,-3.43,10.66,83.28,83.28,79,96,7.16
496,akola,20.73,77.0,65.59,65.59,45,11,3.53
497,paracuru,-3.41,-39.03,83.26,86.0,76,99,14.0
498,hurghada,27.26,33.81,61.65,61.65,55,0,8.12
499,cururupu,-1.83,-44.87,75.88,75.88,97,100,3.44
500,luorong,24.41,109.61,42.57,42.57,81,73,9.73
501,daoukro,7.06,-3.96,69.01,69.01,36,23,2.24
502,pacific grove,36.62,-121.92,61.34,66.99,87,56,3.0
503,butka,56.72,63.79,6.17,6.17,95,100,9.26
504,benjamin constant,-4.38,-70.03,77.77,77.77,88,97,1.36
505,moree,-29.47,149.85,84.63,84.63,55,48,12.71
506,comodoro rivadavia,-45.87,-67.5,74.55,74.55,32,4,27.94
507,shawnee,39.05,-95.77,32.52,35.01,80,90,4.7
508,zhigansk,66.77,123.37,-31.56,-31.56,89,63,14.25
509,hayrabolu,41.21,27.11,42.01,42.01,83,82,7.63
510,itanhem,-17.17,-40.33,69.78,69.78,94,100,4.74
511,sinnamary,5.38,-52.95,79.77,79.77,84,59,20.58
512,chengde,40.97,117.94,13.62,13.62,77,0,1.92
513,angoram,-4.06,144.07,83.89,83.89,80,79,3.06
514,bathsheba,13.22,-59.52,77.88,77.88,79,95,9.31
515,itarema,-2.92,-39.92,78.49,78.49,88,86,6.58
516,lianran,24.92,102.48,35.11,35.11,89,88,1.79
517,naze,28.37,129.48,70.14,70.14,84,100,7.63
518,swan river,52.11,-101.27,26.6,26.6,96,100,4.63
519,abeche,13.83,20.83,60.69,60.69,18,0,25.75
520,mahwa,27.05,76.93,50.67,50.67,52,0,1.19
521,gorontalo,0.54,123.06,79.29,79.29,83,9,2.89
522,shaoguan,24.8,113.58,45.45,45.45,92,100,3.87
523,freeport,40.66,-73.58,47.28,52.0,81,90,12.75
524,san jose,37.34,-121.89,63.48,68.0,68,75,3.38
525,narino,5.61,-75.18,66.0,66.0,76,90,1.01
526,vesele,47.01,34.91,32.47,32.47,86,10,9.51
527,aktash,50.3,87.73,3.2,3.2,82,79,8.32
528,puerto carreno,6.19,-67.49,85.28,85.28,42,100,7.58
529,kuusamo,65.97,29.18,9.21,9.21,96,68,4.05
530,maldonado,-34.67,-54.92,63.79,63.79,61,0,5.1
531,san jeronimo,-11.95,-75.28,47.66,47.66,82,93,1.81
532,ternate,0.8,127.4,81.54,81.54,76,27,2.15
533,yantal,56.85,105.25,17.11,17.11,88,97,8.28
534,praia da vitoria,38.73,-27.07,58.77,58.77,63,100,5.23
535,wanning,18.8,110.4,66.27,66.27,92,100,10.54
536,mount gambier,-37.83,140.77,63.36,63.36,75,77,7.81
537,shimoda,34.67,138.95,35.89,39.0,92,100,1.01
